Scenario,Option,Cost,Embodied Energy,Floor,Walls,Roof
64,1,7529.25,872.17,3,6,2
64,2,6979.01,892.93,3,6,6
65,1,6508.47,586.79,2,4,2
65,2,5958.23,607.55,2,4,6
65,3,5069.77,844.32,2,2,6
66,1,10529.45,605.22,2,3,2
66,2,9979.21,625.98,2,3,6
66,3,5069.77,844.32,2,2,6
67,1,6508.47,586.79,2,4,2
67,2,5958.23,607.55,2,4,6
67,3,5069.77,844.32,2,2,6
68,1,11729.92,620.4,3,3,2
68,2,11179.68,641.16,3,3,6
68,3,6979.01,892.93,3,6,6
69,1,7529.25,872.17,3,6,2
69,2,7412.71,884.12,3,6,7
69,3,6979.01,892.93,3,6,6
70,1,7976.62,667.28,1,4,2
70,2,7860.08,679.23,1,4,7
70,3,7426.38,688.04,1,4,6
71,1,7529.25,872.17,3,6,2
71,2,7412.71,884.12,3,6,7
71,3,6979.01,892.93,3,6,6
72,1,10529.45,605.22,2,3,2
72,2,9979.21,625.98,2,3,6
72,3,5069.77,844.32,2,2,6
73,1,6508.47,586.79,2,4,2
73,2,5958.23,607.55,2,4,6
73,3,5069.77,844.32,2,2,6
